pais,region,nivel_ingresos,esperanza_vida,gasto_salud_usd,mortalidad_infantil,medicos_por_1000,poblacion_urbana_pct,obesidad_pct,diabetes_pct,tabaquismo_pct,camas_hospital_por_1000,vacunacion_pct
Afghanistan,Asia,Low,60.9,18.4,,0.19,40.8,15.2,9.2,10.1,1.0,41.1
Albania,Europe,Medium,65.1,673.8,28.1,1.18,45.0,27.2,9.7,17.3,1.2,84.5
Algeria,Africa,Medium,74.5,525.3,28.2,0.59,47.3,15.2,7.6,20.8,1.3,71.4
Angola,Africa,Low,,37.1,54.7,0.79,37.4,13.4,7.8,28.2,1.6,48.7
Argentina,Americas,High,79.4,1809.5,7.6,,71.5,18.9,10.1,33.0,3.4,81.7
Armenia,Europe,Medium,69.2,797.5,24.2,2.44,67.5,10.2,12.8,32.0,2.3,71.1
Australia,Oceania,Very High,,9964.1,,4.42,87.2,20.6,10.3,19.7,7.3,93.8
Austria,Europe,Very High,83.7,3685.2,3.9,2.71,91.0,31.0,5.9,18.6,6.0,90.9
Azerbaijan,Asia,Medium,69.8,486.4,14.8,0.95,50.8,20.6,8.8,20.5,1.2,79.5
Bangladesh,Asia,Low,59.7,78.8,81.0,0.65,21.7,6.5,6.0,18.2,1.0,67.7
Belgium,Europe,Very High,80.5,5228.4,3.0,5.27,83.1,32.6,8.9,10.9,8.5,97.2
Bolivia,Americas,Medium,75.8,322.4,30.0,1.41,53.5,27.2,15.0,28.9,2.8,68.6
Brazil,Americas,High,74.1,2913.7,5.8,1.87,72.3,25.1,7.6,17.4,5.1,82.2
Bulgaria,Europe,High,75.8,2277.7,8.0,2.13,76.0,16.1,9.2,35.0,5.5,79.2
Cambodia,Asia,Low,60.4,148.3,72.5,0.03,43.6,9.5,7.6,30.5,0.4,44.4
Cameroon,Africa,Low,65.4,129.2,,0.35,24.7,5.1,8.4,23.3,0.7,68.2
Canada,Americas,Very High,78.9,4019.6,3.2,5.2,91.9,32.6,11.3,13.8,4.4,89.1
Chile,Americas,High,79.2,854.5,12.4,2.16,80.3,27.0,12.0,31.2,2.9,91.4
China,Asia,High,73.2,1224.9,8.3,3.23,81.2,19.2,10.5,23.0,5.4,87.1
Colombia,Americas,High,75.2,2133.7,10.1,2.27,71.8,18.8,11.0,15.0,5.2,87.2
Congo,Africa,Low,62.2,55.5,50.1,0.34,29.1,,3.9,18.1,1.9,65.7
Costa Rica,Americas,High,76.3,1772.8,7.1,2.45,79.6,26.9,7.2,,3.8,88.8
Croatia,Europe,High,78.9,960.2,9.1,2.76,62.7,25.4,9.5,19.9,4.3,78.1
Cuba,Americas,High,78.9,1804.2,13.0,2.84,81.7,23.9,12.7,32.8,4.1,90.2
Czech Republic,Europe,Very High,82.6,7170.4,4.5,3.32,73.9,22.9,6.9,15.8,6.0,89.5
Denmark,Europe,Very High,83.4,7672.6,4.8,5.07,91.1,24.5,5.0,16.3,7.1,
Dominican Republic,Americas,Medium,,591.4,21.3,0.83,55.0,12.3,12.0,15.7,2.0,78.0
Ecuador,Americas,Medium,69.2,638.8,31.1,1.0,42.6,10.3,,40.0,1.9,80.0
Egypt,Africa,Medium,71.2,,28.1,2.03,45.4,20.9,13.0,17.9,3.0,87.2
El Salvador,Americas,Medium,71.9,216.2,29.8,2.2,59.2,12.2,14.9,34.6,1.9,74.9
Ethiopia,Africa,Low,62.0,73.8,77.7,0.77,24.5,17.1,6.8,19.6,1.0,67.8
Finland,Europe,Very High,78.2,9807.6,2.7,3.14,91.9,23.8,11.2,22.6,4.5,88.1
France,Europe,Very High,78.6,4772.8,4.8,3.42,86.5,26.0,8.7,17.7,7.1,91.6
Germany,Europe,Very High,,6873.6,4.9,5.43,85.1,22.8,5.7,13.5,4.3,90.0
Ghana,Africa,Low,64.8,92.5,60.5,0.36,21.5,5.8,9.6,19.5,1.7,55.2
Greece,Europe,Very High,81.6,9325.9,2.9,4.07,83.3,25.5,11.0,27.8,4.7,94.8
Guatemala,Americas,Medium,65.0,442.8,25.7,1.08,47.4,22.7,12.6,26.4,2.7,86.2
Haiti,Americas,Low,51.2,37.4,50.0,,34.9,9.3,3.9,24.5,1.5,75.8
Honduras,Americas,Medium,74.2,523.9,33.9,2.5,61.5,14.9,7.3,33.9,2.2,80.0
Hungary,Europe,High,79.0,1525.6,11.9,2.08,80.7,27.2,9.9,24.1,3.1,83.5
India,Asia,Medium,73.3,556.5,29.5,0.91,57.6,26.7,10.5,32.5,1.3,87.4
Indonesia,Asia,Medium,66.3,690.9,23.5,1.93,56.3,14.9,13.7,39.5,1.6,77.7
Iran,Asia,High,76.6,2605.2,7.8,2.1,72.1,30.0,9.4,18.0,3.9,83.9
Iraq,Asia,Medium,65.5,634.1,28.2,2.12,52.4,21.9,13.6,39.5,2.2,65.9
Ireland,Europe,Very High,81.9,4234.9,3.9,5.41,80.5,29.8,,25.3,7.7,97.5
Israel,Asia,Very High,84.0,8974.1,3.7,2.8,87.8,32.8,8.1,22.5,8.0,88.5
Italy,Europe,Very High,83.2,7957.7,3.0,5.24,75.6,25.8,6.8,14.6,3.1,96.9
Jamaica,Americas,Medium,74.3,279.5,20.8,1.47,47.6,20.3,,39.8,1.7,87.5
Japan,Asia,Very High,79.7,9390.9,4.4,3.56,87.9,28.6,9.7,23.0,6.6,97.2
Jordan,Asia,Medium,73.2,264.2,15.0,1.58,71.1,19.6,14.3,35.8,1.6,84.0
Kazakhstan,Asia,High,78.1,2955.9,14.7,3.11,66.8,26.9,6.1,,3.6,89.4
Kenya,Africa,Low,65.6,44.9,34.1,0.66,46.8,9.5,5.9,11.4,1.9,51.6
Kuwait,Asia,Very High,82.5,4236.2,3.7,2.8,84.2,24.9,11.7,10.6,5.0,92.9
Laos,Asia,Low,52.1,129.5,59.6,0.54,37.5,14.0,3.1,26.9,0.6,44.8
Lebanon,Asia,Medium,65.0,708.0,15.3,0.76,48.0,13.1,12.3,15.6,1.0,83.2
Libya,Africa,Medium,70.6,220.9,23.6,2.39,41.4,24.1,13.9,28.0,2.1,87.2
Madagascar,Africa,Low,51.1,52.1,71.1,0.45,26.4,19.9,6.7,18.9,1.3,43.8
Malaysia,Asia,High,76.2,1715.2,6.0,2.35,74.0,20.6,7.1,33.5,2.2,92.1
Mali,Africa,Low,56.0,104.8,78.8,0.7,40.2,19.5,7.2,16.4,1.2,48.1
Mexico,Americas,High,79.8,2600.5,,2.79,58.6,28.9,11.8,20.3,2.6,
Morocco,Africa,Medium,73.2,289.8,21.7,1.18,51.8,23.0,13.2,29.2,1.2,66.2
Mozambique,Africa,Low,51.9,73.0,48.4,0.55,32.0,15.0,,17.5,1.3,40.3
Myanmar,Asia,Low,62.0,82.5,84.2,0.65,17.5,17.9,,8.4,1.9,72.8
Nepal,Asia,Low,64.1,139.2,35.7,0.68,23.5,13.8,6.7,17.5,0.8,52.9
Netherlands,Europe,Very High,82.9,4890.2,2.6,3.09,87.1,30.9,9.6,13.2,7.3,93.4
New Zealand,Oceania,Very High,78.9,3546.3,3.8,3.41,78.9,19.0,8.6,15.6,5.5,88.6
Nicaragua,Americas,Medium,74.9,442.3,30.6,1.8,50.3,18.6,8.2,16.5,1.3,85.7
Niger,Africa,Low,56.3,53.2,56.6,0.28,35.9,16.8,7.5,9.6,0.4,65.8
Nigeria,Africa,Low,66.5,109.3,55.5,0.48,47.8,9.6,5.6,27.0,1.7,65.5
Norway,Europe,Very High,79.3,,3.9,3.18,75.4,19.3,10.9,11.8,7.2,97.2
Pakistan,Asia,Low,63.8,37.3,58.4,0.34,38.7,8.6,6.1,14.8,1.5,57.1
Panama,Americas,High,75.0,1640.1,10.3,3.43,77.6,27.0,7.0,20.0,4.2,92.9
Paraguay,Americas,Medium,69.8,,17.1,1.4,51.2,10.5,7.4,27.6,1.6,87.9
Peru,Americas,Medium,72.7,240.2,28.2,1.4,40.2,,9.0,35.9,2.4,81.7
Philippines,Asia,Medium,75.0,537.9,12.4,1.53,47.7,12.6,10.4,30.4,1.6,74.6
Poland,Europe,High,76.3,2198.5,,2.01,58.4,26.8,8.4,29.7,4.2,91.1
Portugal,Europe,Very High,81.8,9492.0,2.3,4.83,83.4,23.0,5.3,13.6,3.2,98.3
Romania,Europe,High,75.3,1073.8,8.7,3.28,75.8,28.4,8.7,34.5,3.7,86.5
Russia,Europe,High,73.6,2254.0,8.1,2.71,68.2,25.3,8.5,15.8,5.0,84.0
Rwanda,Africa,Low,66.2,34.3,69.5,0.63,16.2,6.0,8.4,16.8,0.9,61.6
Saudi Arabia,Asia,Very High,79.5,3907.6,4.9,4.0,81.7,27.5,6.8,14.7,5.5,99.0
Senegal,Africa,Low,61.6,129.1,50.8,0.29,17.3,13.1,9.2,28.4,,75.2
Serbia,Europe,High,75.6,2568.1,10.5,2.72,60.1,19.6,13.0,29.4,3.8,91.1
Sierra Leone,Africa,Low,60.9,39.6,92.8,0.36,46.9,5.8,3.9,11.7,0.5,52.3
Singapore,Asia,Very High,79.8,7267.8,,,95.5,20.6,9.6,23.0,6.3,97.3
Somalia,Africa,Low,60.9,82.2,70.8,0.25,48.5,12.2,8.6,24.4,0.7,42.8
South Africa,Africa,Medium,75.7,235.0,20.5,1.62,50.2,18.4,9.1,21.2,1.2,71.7
South Korea,Asia,Very High,81.0,7117.8,4.0,3.43,72.6,34.1,8.5,27.4,4.2,91.9
Spain,Europe,Very High,82.4,9110.9,3.5,3.7,86.3,21.3,8.9,11.3,5.8,96.4
Sri Lanka,Asia,Medium,73.3,279.4,23.7,1.5,41.4,12.5,9.7,26.8,2.1,78.9
Sudan,Africa,Low,59.0,,49.5,0.66,27.9,15.1,9.9,22.0,1.6,67.6
Sweden,Europe,Very High,79.0,8032.2,4.5,5.02,75.7,29.6,5.2,27.1,3.6,88.2
Switzerland,Europe,Very High,78.8,4658.7,3.3,4.49,85.1,23.3,6.2,26.4,4.9,91.9
Syria,Asia,Low,66.5,55.2,48.8,0.18,39.7,9.8,5.4,30.4,1.6,50.4
Tanzania,Africa,Low,62.1,61.8,58.8,0.22,31.8,8.0,6.8,30.4,1.5,45.2
Thailand,Asia,Medium,66.1,651.0,12.1,1.6,69.7,17.3,14.5,37.0,2.2,69.6
Togo,Africa,Low,65.5,38.6,,0.16,47.2,20.0,5.8,19.9,1.9,76.6
Tunisia,Africa,Medium,70.4,760.1,31.6,1.44,46.2,12.0,8.3,26.5,1.6,69.3
Turkey,Europe,High,73.6,2272.4,,1.78,65.8,18.7,7.8,19.7,4.6,94.2
Uganda,Africa,Low,58.5,135.8,75.7,0.26,19.1,18.7,5.1,22.8,0.6,45.1
Ukraine,Europe,Medium,67.7,640.6,32.1,0.66,54.3,22.7,7.6,29.1,1.2,77.6
United Arab Emirates,Asia,Very High,81.1,9469.5,3.8,,83.4,19.0,8.2,24.5,7.0,92.4
United Kingdom,Europe,Very High,83.6,3253.9,3.6,4.81,91.1,34.6,9.5,17.6,8.5,92.2
United States,Americas,Very High,81.2,7230.7,4.9,3.17,72.1,18.4,7.1,22.1,6.0,93.9
Uruguay,Americas,High,78.4,2744.3,5.2,1.91,60.4,15.5,10.2,29.1,2.2,90.6
Uzbekistan,Asia,Medium,68.5,538.6,27.5,1.14,49.7,12.6,12.3,20.5,1.8,66.4
Venezuela,Americas,Medium,73.6,357.2,21.6,0.8,52.0,23.6,10.8,36.2,1.8,81.3
Vietnam,Asia,Medium,75.1,700.6,14.1,1.95,46.1,14.8,12.4,30.1,,69.3
Yemen,Asia,Low,66.4,30.8,95.0,0.39,23.5,14.1,4.4,30.0,1.2,69.5
Zambia,Africa,Low,64.3,138.4,54.1,0.34,34.7,8.3,4.0,14.3,1.9,62.0
Zimbabwe,Africa,Low,64.0,145.5,71.7,,20.9,16.9,4.2,25.3,1.1,74.8
Botswana,Africa,Medium,74.3,,28.3,,56.2,16.7,11.9,31.7,,76.1
Gabon,Africa,Medium,72.4,674.0,32.9,0.71,43.1,12.7,8.5,28.2,3.0,71.1
Georgia,Europe,Medium,74.4,643.7,14.2,1.26,57.7,11.0,,19.3,2.2,75.0
Iceland,Europe,Very High,80.9,3372.5,2.3,5.28,94.5,27.6,5.2,26.7,4.7,98.6
Ivory Coast,Africa,Low,65.2,59.8,79.1,0.13,49.6,15.9,6.5,,0.3,56.6
Luxembourg,Europe,Very High,80.9,5846.5,5.8,3.8,89.0,29.2,5.6,21.1,,95.8
Moldova,Europe,Medium,69.0,325.3,15.0,0.87,54.4,20.0,10.3,15.7,1.9,67.1
Mongolia,Asia,Medium,71.3,260.2,20.8,0.78,49.6,18.9,7.5,25.9,2.1,76.1
Namibia,Africa,Medium,68.7,553.1,30.5,1.16,50.7,24.7,13.9,39.4,1.3,72.4
Oman,Asia,Very High,79.5,6008.4,5.3,3.68,74.8,27.6,9.1,19.8,6.7,94.1
Papua New Guinea,Oceania,Low,58.5,100.5,45.7,0.53,40.0,16.8,3.5,31.8,1.1,55.2
Qatar,Asia,Very High,78.5,9151.6,,3.57,88.2,18.8,11.9,22.2,5.2,96.3
Tajikistan,Asia,Low,56.6,119.3,68.3,0.41,27.1,5.4,3.7,18.0,1.9,44.4
Turkmenistan,Asia,Medium,68.5,345.2,30.6,0.73,67.2,21.7,12.4,19.1,3.5,70.6
Bahrain,Asia,Very High,78.2,7912.9,2.8,4.28,81.7,30.0,6.4,23.5,7.4,88.7
Belarus,Europe,High,77.2,2144.9,10.9,2.2,78.3,24.3,11.7,29.1,3.0,88.4
Benin,Africa,Low,56.5,40.1,71.3,,37.6,20.0,6.9,19.8,0.5,52.0
Bosnia,Europe,Medium,72.5,420.2,31.3,1.48,42.6,10.6,13.1,22.3,1.7,77.4
Brunei,Asia,Very High,80.2,9580.9,2.2,4.66,85.7,34.8,5.7,24.9,7.1,91.3
Burkina Faso,Africa,Low,60.0,62.3,76.2,0.51,20.8,7.1,4.4,13.0,0.3,53.3
Burundi,Africa,Low,51.6,145.0,81.1,0.74,49.7,18.0,3.9,28.8,0.6,67.0
Cape Verde,Africa,Medium,74.7,210.5,23.9,1.06,70.0,16.6,14.6,23.2,1.0,82.8
Cyprus,Europe,Very High,79.3,5148.3,5.3,3.51,86.4,27.6,8.4,,6.8,88.5
Djibouti,Africa,Low,61.7,32.8,72.2,0.14,47.6,9.1,7.6,14.0,,74.3
Eritrea,Africa,Low,52.3,45.5,74.2,0.03,39.3,17.3,9.9,18.1,0.4,42.7
Estonia,Europe,Very High,84.0,4142.8,4.1,2.53,88.3,25.5,10.1,21.3,3.8,92.5
Fiji,Oceania,Medium,66.5,330.0,13.9,1.61,59.2,20.9,13.2,32.3,3.1,80.1
Guinea,Africa,Low,51.9,82.4,68.6,0.43,49.2,19.8,,11.2,1.7,
Guyana,Americas,Medium,65.7,663.0,23.7,1.76,56.0,17.5,12.6,17.1,2.3,79.2
Kosovo,Europe,Medium,72.5,193.0,28.1,1.96,67.1,11.0,7.7,25.9,2.1,79.0
Kyrgyzstan,Asia,Low,63.3,112.3,40.9,0.12,42.3,9.0,9.2,26.5,0.3,70.7
Latvia,Europe,Very High,80.2,5040.9,2.4,4.22,90.1,21.9,8.6,10.8,7.7,90.7
Liberia,Africa,Low,55.5,71.2,76.8,0.23,17.7,10.6,6.5,29.6,0.5,
Lithuania,Europe,Very High,79.2,7510.5,,4.37,83.6,28.1,8.5,23.9,4.1,97.9
Macedonia,Europe,Medium,65.0,577.2,31.5,1.95,43.3,19.5,8.9,27.3,1.1,87.9
Malawi,Africa,Low,51.6,33.0,83.3,0.08,34.9,11.5,9.7,13.7,0.7,52.0
Maldives,Asia,Medium,66.7,256.8,22.7,1.31,57.1,,8.7,22.7,1.7,67.8
Malta,Europe,Very High,80.1,7107.7,4.7,,96.8,18.5,7.8,18.1,7.1,90.7
Mauritania,Africa,Low,60.7,102.0,67.9,,43.4,5.3,3.5,29.7,1.0,44.9
Mauritius,Africa,High,73.2,2303.1,6.7,1.93,62.5,19.2,12.2,15.7,4.2,82.2
Montenegro,Europe,High,77.4,2564.8,12.9,3.48,76.8,20.4,9.8,24.7,5.2,86.5
North Korea,Asia,Low,63.0,149.9,93.3,0.1,38.0,9.0,8.7,30.0,0.3,77.9
Slovakia,Europe,Very High,82.2,10311.8,2.1,4.6,95.7,27.6,8.9,13.4,,97.7
Slovenia,Europe,Very High,79.2,4043.9,4.9,5.26,93.1,23.5,5.2,20.6,8.0,96.5
Suriname,Americas,Medium,66.7,766.7,30.2,2.42,60.8,13.1,14.7,32.3,3.3,83.1
Swaziland,Africa,Medium,69.3,796.3,34.2,0.56,59.3,26.6,14.7,20.5,2.4,86.5
Timor-Leste,Asia,Low,65.1,75.3,47.2,0.21,17.4,8.8,3.8,8.0,0.9,67.8
Trinidad and Tobago,Americas,High,77.8,1157.8,5.7,3.19,65.1,19.8,12.7,16.5,,84.4
